"batsman","no_of_sixes_fours","total_sixes_fours","player_total_runs","total_percentage","no_season_played"
"SP Narine","155","724","892","81.1659192825112108","9"
"AD Russell","234","1194","1517","78.7079762689518787","8"
"CH Gayle","733","3630","4772","76.0687342833193630","12"
"CR Brathwaite","26","136","181","75.1381215469613260","4"
"ST Jayasuriya","123","570","768","74.2187500000000000","3"
"BCJ Cutting","34","174","238","73.1092436974789916","5"
"MJ McClenaghan","12","62","85","72.9411764705882353","5"
"AC Gilchrist","331","1508","2069","72.8854519091348478","6"
"Mujeeb Ur Rahman","2","8","11","72.7272727272727273","3"
"MS Gony","14","72","99","72.7272727272727273","6"
