year,runs,venue,,,,,,,,,,
2018,2885,Eden Gardens,,,,,,,,,,
2019,2651,Eden Gardens,,,,,,,,,,
2015,2386,Eden Gardens,,,,,,,,,,
2013,2304,Eden Gardens,,,,,,Consistent Batsman (High Run Scorer):,,,,
2017,2194,Eden Gardens,,,,,,Virat Kohli,,,,
2010,2167,Eden Gardens,,,,,,Suresh Raina,,,,
2016,2073,Eden Gardens,,,,,,Rohit Sharma,,,,
2012,2012,Eden Gardens,,,,,,David Warner,,,,
2011,1854,Eden Gardens,,,,,,Game-changing Batsman:,,,,
2008,1843,Eden Gardens,,,,,,Chris Gayle,,,,
2014,1289,Eden Gardens,,,,,,AB de Villiers,,,,
,,,,,,,,Rohit Sharma,,,,
,,,,,,,,MS Dhoni,,,,
,,,,,,,,Batsman with Consistent High Run Scoring:,,,,
,,,,,,,,David Warner,,,,
,,,,,,,,Chris Gayle,,,,
,,,,,,,,Virat Kohli,,,,
,,,,,,,,AB de Villiers,,,,
,,,,,,,,,,,,
,,,,,,,,Best Finisher in Lower Order (High Strike Rate):,,,,
,,,,,,,,Chris Gayle,,,,
,,,,,,,,Kieron Pollard,,,,
,,,,,,,,David Warner,,,,
,,,,,,,,Shane Watson,,,,
,,,,,,,,Brendon McCullum,,,,
,,,,,,,,,,,,
,,,,,,,,Experienced Bowler:,,,,
,,,,,,,,,,,,
,,,,,,,,Harbhajan Singh,,,,
,,,,,,,,Amit Mishra,,,,
,,,,,,,,Piyush Chawla,,,,
,,,,,,,,Ravichandran Ashwin,,,,
,,,,,,,,Lasith Malinga,,,,
,,,,,,,,Dwayne Bravo,,,,
,,,,,,,,Wicket-taking Bowler:,,,,
,,,,,,,,Lasith Malinga,,,,
,,,,,,,,Dwayne Bravo,,,,
,,,,,,,,Amit Mishra,,,,
,,,,,,,,Harbhajan Singh,,,,
,,,,,,,,Piyush Chawla,,,,
,,,,,,,,Bowler with Most Dot Balls:,,,,
,,,,,,,,Harbhajan Singh,,,,
,,,,,,,,Lasith Malinga,,,,
,,,,,,,,Bhuvneshwar Kumar,,,,
,,,,,,,,Amit Mishra,,,,
,,,,,,,,Piyush Chawla,,,,
,,,,,,,,Bowler with Good Economy Rate:,,,,
,,,,,,,,Dale Steyn,,,,
,,,,,,,,Muttiah Muralitharan,,,,
,,,,,,,,Ravichandran Ashwin,,,,
,,,,,,,,Sunil Narine,,,,
,,,,,,,,Harbhajan Singh,,,,
